City_CH,Prov_CH,Prov_EN,City_Code,City_EN,Prov_Code
北京市,北京市,Beijing,110000,Beijing,110000
天津市,天津市,Tianjin,120000,Tianjin,120000
石家庄市,河北省,Hebei,130100,Shijiazhuang,130000
唐山市,河北省,Hebei,130200,Tangshan,130000
秦皇岛市,河北省,Hebei,130300,Qinhuangdao,130000
邯郸市,河北省,Hebei,130400,Handan,130000
邢台市,河北省,Hebei,130500,Xingtai,130000
保定市,河北省,Hebei,130600,Baoding,130000
张家口市,河北省,Hebei,130700,Zhangjiakou,130000
承德市,河北省,Hebei,130800,Chengde,130000
沧州市,河北省,Hebei,130900,Cangzhou,130000
廊坊市,河北省,Hebei,131000,Langfang,130000
衡水市,河北省,Hebei,131100,Hengshui,130000
太原市,山西省,Shanxi,140100,Taiyuan,140000
大同市,山西省,Shanxi,140200,Datong,140000
阳泉市,山西省,Shanxi,140300,Yangquan,140000
长治市,山西省,Shanxi,140400,Changzhi,140000
晋城市,山西省,Shanxi,140500,Jincheng,140000
朔州市,山西省,Shanxi,140600,Shuozhou,140000
晋中市,山西省,Shanxi,140700,Jinzhong,140000
运城市,山西省,Shanxi,140800,Yuncheng,140000
忻州市,山西省,Shanxi,140900,Xinzhou,140000
临汾市,山西省,Shanxi,141000,Linfen,140000
吕梁市,山西省,Shanxi,141100,Lvliang,140000
呼和浩特市,内蒙古,Neimenggu,150100,Huhehaote,150000
包头市,内蒙古,Neimenggu,150200,Baotou,150000
乌海市,内蒙古,Neimenggu,150300,Wuhai,150000
赤峰市,内蒙古,Neimenggu,150400,Chifeng,150000
通辽市,内蒙古,Neimenggu,150500,Tongliao,150000
鄂尔多斯市,内蒙古,Neimenggu,150600,Eerduosi,150000
呼伦贝尔市,内蒙古,Neimenggu,150700,Hulunbeier,150000
巴彦淖尔市,内蒙古,Neimenggu,150800,Bayannaoer,150000
乌兰察布市,内蒙古,Neimenggu,150900,Wulanchabu,150000
兴安盟,内蒙古,Neimenggu,152200,Xingan,150000
锡林郭勒盟,内蒙古,Neimenggu,152500,Xilinguole,150000
阿拉善盟,内蒙古,Neimenggu,152900,Alashan,150000
